address,chanquannianxian,chanquanxingzhi,chaoxiang,danjia,dianti,house_type,huxing,huxingjiegou,jianzhumianji,jianzhuniajdai,link,louceng,lvhualv,rongjilv,title,wuyefeiyong,wuyeleixing,xiaoqu,zhuangxiu
延福花园广电大厦-延吉路166号,,个人产权,南北,28077元/平米,无,,3室2厅2卫,平层,130平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212603162_11259657x2411543183_165049912.htm,中层,40%,1.2,广电大厦 延福花园 精装全明大套三 南北通透 双厅双卫 诚售,1.08元/平米·月,住宅                    ,延福花园,精装修
天山小区天山-市南区宁国路33号,,商品房,南北,36487元/平米,无,,2室1厅1卫,,80.85平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212668913_11481410x2411596383_163581682.htm,高层,41%,1.1,天山小区 南北卧 东明厅 顶加阁 利用率60,0.27元/平米·月,住宅                    ,天山小区,精装修
福林花园福州南路-大尧二路17号,70年产权;,商品房,南,37431元/平米,无,,4室2厅2卫,,101.52平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212577794_11971733x2411633663_165954142.htm,高层,20%,1,福林花园 4室2厅 101平,0.3元/平米·月,住宅                    ,福林花园,精装修
琴岛山庄大学路-兴安支路7号,,商品房,南,55458元/平米,无,,3室2厅2卫,平层,108.19平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212691697_11477899x2411668605_163532717.htm,高层,35%,1.8,"琴岛山庄双学,顶加阁,实际面积大",0.8元/平米·月,住宅                    ,琴岛山庄,简装修
银座公寓八大峡-观音峡路18-24号,,商品房,东,24806元/平米,无,,3室1厅1卫,,129平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212855940_11491447x2411708101_165268070.htm,低层,30%,2.4,"口物业 居家花园小区, 3房320万,业主急卖此房",0.6元/平米·月,住宅                    ,银座公寓,简装修
金都新村青岛大学-海口路11号甲,70年产权;,个人产权,南北,41394元/平米,无,,2室2厅1卫,,103.88平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212546154_12414550x2411673915_165183038.htm,低层,45%,1.36,麦岛 金都新村104平 二室二厅一楼精装修可直接入住,0.9元/平米·月,住宅                    ,金都新村,精装修
辛家庄二小区辛家庄-仙游路9号(金门路派出所西侧),,商品房,南,25950元/平米,无,,2室1厅1卫,平层,59.73平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212118099_11488556x2411665169_164453539.htm,高层,34%,1.2,辛家庄小区福清路 东向套二厅 位置安静 低总价 看房有钥匙,0.4元/平米·月,住宅                    ,辛家庄二小区,简装修
城市生活家天山-安庆路15号,,商品房,南北,38160元/平米,无,,2室2厅1卫,,99.58平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212473595_11957457x2411662839_160572242.htm,中层,30%,3,城市生活家 多层套二 好楼层采光棒 精装修 位置安静,1元/平米·月,住宅                    ,城市生活家,精装修
珠海路24号奥帆中心-珠海路24号,,个人产权,南北,34677元/平米,无,,2室1厅1卫,平层,62平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211848011_12346484x2411794109_133063965.htm,中层,35%,2.5,新上珠海路精装套二好房南北通透 位置佳 交通方便,暂无资料,住宅                    ,珠海路24号,精装修
电业公寓东海路-东海路55号,,商品房,南北,32911元/平米,无,,2室1厅1卫,平层,79平米,住宅                    ,http://esf.qd.fang.com/chushou/18_208667254_11237875x2411679825_165960907.htm,中层,30%,1.9,电业公寓 70年住宅房 基隆路 东海路 奥帆,0.2元/平米·月,住宅                    ,电业公寓,精装修
