address,chanquannianxian,chanquanxingzhi,chaoxiang,chengshi,danjia,dianti,house_type,huxing,huxingjiegou,jianzhumianji,jianzhuniandai,link,louceng,lvhualv,quxian,rongjilv,title,wuyefeiyong,wuyeleixing,xiaoqu,zhuangxiu
金都花园五四广场-东海西路37号,信息缺失,商品房,东北,,14815元/平米,无,,3室1厅1卫,信息缺失,135平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212554910_11474997x2411656407_165313960.htm,中层,45%,,信息缺失,金都花园 单价低 总价低 生活方便 交通便利 全明户型 急售,3.00元/平米·月,住宅                    ,金都花园,精装修
新贵都A区浮山所-徐州路53号,70年产权;,个人产权,南北,,27612元/平米,无,,2室1厅1卫,平层,67平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212701335_12401723x2411668625_160524683.htm,高层,40%,,4.6,新贵都A区 明厨明卫 南向采光好 近地/铁口 下楼就是学/校,0.7元/平米·月,住宅                    ,新贵都A区,简装修
田家花园广电大厦-高田路66号,信息缺失,商品房,南北,,30465元/平米,无,,3室1厅1卫,信息缺失,70.9平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212934726_11236147x2411596263_165913431.htm,高层,35.3%,,1.99,田家花园 双南卧一北卧 简约装修 南北通透,0.60元/平米·月,住宅                    ,田家花园,精装修
泛海名人广场福州南路-福州南路19号,70年产权;,商品房,南,,22388元/平米,有,,4室2厅2卫,信息缺失,201平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209613724_11693011x2411012848_164584533.htm,高层,30%,,3.77,泛海名人广场 高楼层大套四 视野好 超低总价 看房方便,2.5元/平米·月,住宅                    ,泛海名人广场,简装修
交运山庄广电大厦-市南区延吉路160号,信息缺失,商品房,暂无,,32105元/平米,无,,2室2厅1卫,信息缺失,95平米,住宅                    ,http://esf.qd.fang.com/chushou/18_206400821_11257063x2411070322_160508369.htm,低层,42%,,1.19,市南交运山庄 难得一片墅景 南客厅落地大阳台 钥匙房,1.0元/平米·月,住宅                    ,交运山庄,精装修
"逍遥小区福州南路-大尧三路,逍遥二路周边区域",信息缺失,商品房,南,,25373元/平米,无,,2室1厅1卫,平层,67平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209990533_11480126x2411714917_160580530.htm,高层,35%,,1.2,大尧逍遥燕儿岛漳州路67平套二厅厅大十七平全明户型五楼一百七,0.2元/平米·月,住宅                    ,逍遥小区,简装修
颐中高山天山-旌德路26号,70年产权;,个人产权,南北,,31689元/平米,有,,4室2厅2卫,信息缺失,182.4平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209072141_11966071x2411097380_160550199.htm,中层,40.2%,,1.29,送车位 颐中高山 双南双北卧大南厅 背靠山面朝海 视野采光好,1.4元/平米·月,住宅                    ,颐中高山,简装修
碧海花园东海路-东海中路17号,70年产权;,商品房,南,,40000元/平米,无,,3室2厅2卫,平层,165平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212824398_11927218x2411666881_165872243.htm,低层,45%,,1.69,麦岛碧海花园精装修套三户型方正过五年宽阔阳台,1元/平米·月,住宅                    ,碧海花园,精装修
天虹花园青岛大学-市南区宁夏路329号,信息缺失,商品房,南北,,30769元/平米,无,,2室2厅1卫,信息缺失,91平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210627675_12222541x2411597545_162196818.htm,中层,35%,,4.6,天虹花园套二厅 方正好户型 仅3万每平 免双税 基隆路学,0.5元/平米·月,住宅                    ,天虹花园,精装修
如意花园奥帆中心-澳门路138号,信息缺失,个人产权,南,,44103元/平米,无,,4室1厅2卫,平层,176.86平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210700936_11643027x2411627463_160172151.htm,高层,50%,,2,奥帆 山海居 无遮挡 复式带阁楼 送车库,0.8元/平米·月,住宅                    ,如意花园,简装修
万丽海景湛山-东海西路1号,70年产权;,个人产权,南,,45872元/平米,有,,4室2厅4卫,平层,327平米,住宅                    ,http://esf.qd.fang.com/chushou/18_207585873_11474972x2411162251_164331209.htm,中层,35%,,4,"东海路9号旁,万丽海景,豪装四居,270度全海景,送双车位",7元/平米·月,住宅                    ,万丽海景,豪华装修
鹏程花园辛家庄-燕儿岛路16号,信息缺失,商品房,南,,20837元/平米,无,,2室1厅1卫,信息缺失,124.78平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212927769_11699584x2411657151_166002034.htm,高层,15%,,3,鹏程花园 2室1厅 124平,1.4元/平米·月,住宅                    ,鹏程花园,精装修
海悦中心东海路-东海中路18号,70年产权;,商品房,西北,,26601元/平米,有,,4室2厅3卫,复式,300.74平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211226620_12302806x2411012852_165791001.htm,高层,30%,,5,海悦小区 精装大复式 仅售540万超低单价540万仅售540万,0.80元/平米·月,住宅                    ,海悦中心,精装修
东海岸花园辛家庄-市南区东海中路10号,信息缺失,商品房,南北,,31563元/平米,无,,3室2厅2卫,信息缺失,148.91平米,住宅                    ,http://esf.qd.fang.com/chushou/18_207026862_11488765x2411633703_165494719.htm,高层,40%,,1,"满五年,带阁楼,阁楼高,户型方正,双南卧通透",0.4元/平米·月,住宅                    ,东海岸花园,精装修
东海路9号东海路-东海西路15号乙,70,个人产权,西南,,27273元/平米,无,,2室2厅2卫,信息缺失,165平米,住宅                    ,http://esf.qd.fang.com/chushou/18_202457918_11989004x2411132903_160540316.htm,低层,25%,,8.95,东海路9号万丽海景深蓝旁A座全海景低价抛售,9元/平米·月,住宅                    ,东海路9号,豪华装修
万丽海景湛山-东海西路1号,70年产权;,商品房,南,,33654元/平米,无,,1室1厅1卫,信息缺失,72.8平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212927605_12147255x2411162251_165887545.htm,低层,35%,,4,八大关南向看海 精装修套一 管家式,7元/平米·月,住宅                    ,万丽海景,精装修
福林小区大尧-大尧二路17号,信息缺失,商品房,南北,,29925元/平米,无,,2室1厅1卫,平层,64.16平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212689552_12092326x2411632347_162498372.htm,中层,40%,,2,福林花园 粉楼套二厅 四楼 安静采光好 南北通透 福林小,0.4元/平米·月,住宅                    ,福林小区,简装修
中海银海一号天山-银川西路7号,70年产权;,商品房,南,,35106元/平米,有,,2室2厅1卫,平层,94平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211721751_12245603x2411267823_164199185.htm,低层,40.1%,,3.25,中海银海一号 精装套二 低总价 满五年 近青大,2.05元/平米·月,住宅                    ,中海银海一号,精装修
瑞纳紫域天山-银川西路36号,70,个人产权,南北,,40000元/平米,无,,3室2厅2卫,平层,140平米,住宅                    ,http://esf.qd.fang.com/chushou/18_207671974_11472440x2411265303_164127408.htm,中层,60%,,1.09,瑞纳紫域 稀.缺多层2楼 精装大套三 双南一北卧 带车位,2元/平米·月,住宅                    ,瑞纳紫域,精装修
福林小区大尧-大尧二路17号,信息缺失,商品房,南北,,24932元/平米,无,,2室1厅1卫,信息缺失,73平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212358442_11489509x2411632347_163698492.htm,中层,40%,,2,福林 书城麦凯乐 有独立餐厅 通透 业主诚售随时看,0.4元/平米·月,住宅                    ,福林小区,中装修
天慧苑二轻新村-宁夏路118号,70年产权;,商品房,东,,26282元/平米,有,,2室1厅1卫,平层,78平米,住宅                    ,http://esf.qd.fang.com/chushou/18_213013597_12283161x2411669687_160117890.htm,中层,20%,,1.56,宁夏路口 中联广场天慧苑205万元朝向南北干净舒适 交通便利,0.4元/平米·月,住宅                    ,天慧苑,精装修
弘信山庄天山-宁夏路274号,信息缺失,商品房,南北,,33048元/平米,无,,3室3厅2卫,信息缺失,89.87平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212916113_11484061x2411591105_160502656.htm,高层,40%,,1.6,"弘信山庄 顶加阁,双南卧北厅,满五年,业主诚售",0.8元/平米·月,住宅                    ,弘信山庄,精装修
海信燕岛国际公寓奥帆中心-增城路7号,70年产权;,个人产权,暂无,,44983元/平米,有,,4室2厅3卫,平层,289平米,住宅                    ,http://esf.qd.fang.com/chushou/18_207867095_11237401x2411091000_163804938.htm,低层,67.7%,,2.26,燕岛国际 精装四居室 带车位移民急售,2.9元/平米·月,住宅                    ,海信燕岛国际公寓,精装修
金都新村青岛大学-海口路11号甲,70年产权;,商品房,南北,,38255元/平米,无,,4室2厅2卫,信息缺失,149平米,住宅                    ,http://esf.qd.fang.com/chushou/18_206060422_11483711x2411673915_164762370.htm,中层,45%,,1.36,金都新村 多层2楼 户型方正 套四 南客厅 双卫,0.9元/平米·月,住宅                    ,金都新村,中装修
凯悦中心浮山所-燕儿岛路8号,70年产权;,商品房,东南,,29734元/平米,无,,1室1厅1卫,信息缺失,84.08平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212984471_11495851x2411173023_165333433.htm,低层,25%,,9.99,"凯悦,精装套一,采光好,看房方便",6.5元/平米·月,住宅                    ,凯悦中心,精装修
金湖社区二轻新村-宁夏路127号甲,信息缺失,个人产权,东西,,25559元/平米,无,,2室1厅1卫,平层,62.6平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210769596_12270291x2411736051_165251282.htm,高层,30%,,1.2,丨宁一xue区丨金湖社区精装套二 楼层舒适 位置安静,0.2元/平米·月,住宅                    ,金湖社区,精装修
丰华园广电大厦-奉化路2号,70年产权;,个人产权,南北,,35938元/平米,无,,2室2厅1卫,平层,99.06平米,住宅                    ,http://esf.qd.fang.com/chushou/18_213112450_12461783x2411111286_160510965.htm,低层,36.2%,,1.72,丰华园 封闭小区 多层 过五年税少,0.8元/平米·月,住宅                    ,丰华园,精装修
颐中高山天山-旌德路26号,70年产权;,个人产权,南北,,29355元/平米,有,,4室2厅2卫,平层,186平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211103279_11489979x2411097380_160565653.htm,低层,40.2%,,1.29,小区専家为您服wu/ 精装修 带电梯 平层套四 全明户型 满五年,1.4元/平米·月,住宅                    ,颐中高山,精装修
延福花园广电大厦-延吉路166号,信息缺失,个人产权,南,,26288元/平米,无,,1室1厅1卫,平层,65.43平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211186431_11250543x2411543183_165049407.htm,中层,40%,,1.2,国际城名苑 温馨一居室 采光好 满五年 延福花园小区,1.08元/平米·月,住宅                    ,延福花园,精装修
弘信海滨新村奥帆中心-澳门路135号,信息缺失,商品房,东,,32227元/平米,无,,3室2厅1卫,平层,123.5平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212951152_11493068x2411666557_164968697.htm,中层,35%,,2.5,奥帆基地旁 沿海多层3L 三居室 不靠路 ++++另有车库 ++++来电详,暂无资料,住宅                    ,弘信海滨新村,精装修
锦绣华城二期二轻新村-延吉路119号,70,商品房,南北,,42031元/平米,无,,3室2厅2卫,信息缺失,128平米,住宅                    ,http://esf.qd.fang.com/chushou/18_208294054_11269852x2411679403_160603012.htm,中层,46%,,1.2,锦绣华城二期 多层电梯花园洋房 套三 房东出国急售 看好可议,1.48元/平米·月,住宅                    ,锦绣华城二期,精装修
鲁商首府奥帆中心-燕儿岛路7号,70年产权;,商品房,南北,,50000元/平米,无,,3室2厅2卫,信息缺失,160平米,住宅                    ,http://esf.qd.fang.com/chushou/18_213051307_11481179x2411542583_165148688.htm,高层,30%,,5.1,"急售奥帆鲁商把头豪装大套三高层无,敌海,景双南卧全明户型",5.00元/平米·月,住宅                    ,鲁商首府,豪华装修
锦绣华城二轻新村-延吉路117号,70年产权;,商品房,南北,,44448元/平米,无,,3室2厅1卫,信息缺失,123.74平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211779851_11478281x2411255663_165979738.htm,低层,41%,,1.99,锦绣华城 满五年 精装修拎包住 多层洋房带电梯 采光好,1.48元/平米·月,住宅                    ,锦绣华城,精装修
银都花园青岛大学-青岛市市南区彰化路1号,信息缺失,商品房,东,,30120元/平米,无,,3室2厅2卫,信息缺失,166平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212962987_11485123x2411592427_164512732.htm,中层,62.3%,,0.87,银都花园海景全明通透三居室采光视野好,1.2元/平米·月,住宅                    ,银都花园,简装修
"逍遥小区福州南路-大尧三路,逍遥二路周边区域",信息缺失,个人产权,南,,26923元/平米,无,,2室1厅1卫,平层,65平米,住宅                    ,http://esf.qd.fang.com/chushou/18_206410584_11480138x2411714917_160580530.htm,中层,35%,,1.2,漳州路逍遥路辛家庄64平套二厅双南全明户型一七五万,0.2元/平米·月,住宅                    ,逍遥小区,中装修
辛家庄三小区辛家庄-宁夏路与燕儿岛路交汇处,70年产权;,商品房,南,,27344元/平米,无,,2室1厅1卫,平层,64平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212392588_12317364x2411595503_164453539.htm,中层,35%,,1.5,金门路房单价总价低 64平全明套二 看房方便采光好,1.2元/平米·月,住宅                    ,辛家庄三小区,简装修
碧海花园东海路-东海中路17号,70年产权;,商品房,东,,15924元/平米,无,,3室2厅1卫,信息缺失,100.48平米,住宅                    ,http://esf.qd.fang.com/chushou/18_208002015_11244471x2411666881_165921687.htm,高层,45%,,1.69,碧海花园 3室2厅 100平,1元/平米·月,住宅                    ,碧海花园,精装修
