,IP,,,PORT,,TYPE,Æ´½Ó
{'ip_port': ',218.93.207.147,,:,808,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.11.228.75:80', 'user_pass': ''},"
{'ip_port': ',180.118.240.12,,:,61234,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.118.240.12:61234', 'user_pass': ''},"
{'ip_port': ',61.135.217.7,,:,80,"', 'user_pass': ''},",HTTP,"{'ip_port': '61.135.217.7:80', 'user_pass': ''},"
{'ip_port': ',122.114.31.177,,:,808,"', 'user_pass': ''},",HTTP,"{'ip_port': '122.114.31.177:808', 'user_pass': ''},"
{'ip_port': ',49.85.5.130,,:,23747,"', 'user_pass': ''},",HTTP,"{'ip_port': '49.85.5.130:23747', 'user_pass': ''},"
{'ip_port': ',61.178.238.122,,:,63000,"', 'user_pass': ''},",HTTP,"{'ip_port': '61.178.238.122:63000', 'user_pass': ''},"
{'ip_port': ',110.73.33.51,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.33.51:8123', 'user_pass': ''},"
{'ip_port': ',118.254.154.214,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '118.254.154.214:3128', 'user_pass': ''},"
{'ip_port': ',123.55.2.177,,:,808,"', 'user_pass': ''},",HTTP,"{'ip_port': '123.55.2.177:808', 'user_pass': ''},"
{'ip_port': ',222.76.187.40,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '222.76.187.40:8118', 'user_pass': ''},"
{'ip_port': ',111.155.116.211,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.116.211:8123', 'user_pass': ''},"
{'ip_port': ',27.37.79.149,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '27.37.79.149:8118', 'user_pass': ''},"
{'ip_port': ',110.85.89.234,,:,41714,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.85.89.234:41714', 'user_pass': ''},"
{'ip_port': ',121.237.139.78,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '121.237.139.78:3128', 'user_pass': ''},"
{'ip_port': ',210.51.165.46,,:,808,"', 'user_pass': ''},",HTTP,"{'ip_port': '210.51.165.46:808', 'user_pass': ''},"
{'ip_port': ',125.105.107.128,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '125.105.107.128:3128', 'user_pass': ''},"
{'ip_port': ',111.155.116.238,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.116.238:8123', 'user_pass': ''},"
{'ip_port': ',58.216.202.149,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '58.216.202.149:8118', 'user_pass': ''},"
{'ip_port': ',123.161.157.249,,:,44761,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.161.157.249:44761', 'user_pass': ''},"
{'ip_port': ',180.115.5.4,,:,45940,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.115.5.4:45940', 'user_pass': ''},"
{'ip_port': ',182.121.233.19,,:,9999,"', 'user_pass': ''},",HTTPS,"{'ip_port': '182.121.233.19:9999', 'user_pass': ''},"
{'ip_port': ',27.40.145.133,,:,61234,"', 'user_pass': ''},",HTTPS,"{'ip_port': '27.40.145.133:61234', 'user_pass': ''},"
{'ip_port': ',1.199.153.240,,:,25095,"', 'user_pass': ''},",HTTP,"{'ip_port': '1.199.153.240:25095', 'user_pass': ''},"
{'ip_port': ',59.41.205.107,,:,53281,"', 'user_pass': ''},",HTTP,"{'ip_port': '59.41.205.107:53281', 'user_pass': ''},"
{'ip_port': ',112.254.181.133,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '112.254.181.133:8118', 'user_pass': ''},"
{'ip_port': ',180.121.135.219,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '180.121.135.219:3128', 'user_pass': ''},"
{'ip_port': ',111.155.116.227,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '111.155.116.227:8123', 'user_pass': ''},"
{'ip_port': ',112.124.39.77,,:,123,"', 'user_pass': ''},",HTTP,"{'ip_port': '112.124.39.77:123', 'user_pass': ''},"
{'ip_port': ',222.85.50.35,,:,43695,"', 'user_pass': ''},",HTTP,"{'ip_port': '222.85.50.35:43695', 'user_pass': ''},"
{'ip_port': ',123.118.25.141,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.118.25.141:8118', 'user_pass': ''},"
{'ip_port': ',180.118.240.154,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.118.240.154:808', 'user_pass': ''},"
{'ip_port': ',183.150.35.146,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '183.150.35.146:808', 'user_pass': ''},"
{'ip_port': ',110.73.35.172,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.73.35.172:8123', 'user_pass': ''},"
{'ip_port': ',180.118.240.24,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.118.240.24:808', 'user_pass': ''},"
{'ip_port': ',110.73.42.18,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.42.18:8123', 'user_pass': ''},"
{'ip_port': ',42.57.86.224,,:,42671,"', 'user_pass': ''},",HTTPS,"{'ip_port': '42.57.86.224:42671', 'user_pass': ''},"
{'ip_port': ',110.73.53.10,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.53.10:8123', 'user_pass': ''},"
{'ip_port': ',1.196.131.241,,:,26751,"', 'user_pass': ''},",HTTPS,"{'ip_port': '1.196.131.241:26751', 'user_pass': ''},"
{'ip_port': ',27.40.150.241,,:,61234,"', 'user_pass': ''},",HTTPS,"{'ip_port': '27.40.150.241:61234', 'user_pass': ''},"
{'ip_port': ',121.31.103.51,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '121.31.103.51:8123', 'user_pass': ''},"
{'ip_port': ',110.73.53.182,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.73.53.182:8123', 'user_pass': ''},"
{'ip_port': ',117.95.200.151,,:,40628,"', 'user_pass': ''},",HTTP,"{'ip_port': '117.95.200.151:40628', 'user_pass': ''},"
{'ip_port': ',110.209.250.202,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.209.250.202:8118', 'user_pass': ''},"
{'ip_port': ',120.33.247.181,,:,45608,"', 'user_pass': ''},",HTTPS,"{'ip_port': '120.33.247.181:45608', 'user_pass': ''},"
{'ip_port': ',123.55.1.14,,:,32033,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.55.1.14:32033', 'user_pass': ''},"
{'ip_port': ',115.225.152.158,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '115.225.152.158:3128', 'user_pass': ''},"
{'ip_port': ',115.225.158.153,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.225.158.153:3128', 'user_pass': ''},"
{'ip_port': ',222.71.89.224,,:,35923,"', 'user_pass': ''},",HTTP,"{'ip_port': '222.71.89.224:35923', 'user_pass': ''},"
{'ip_port': ',49.70.64.171,,:,41696,"', 'user_pass': ''},",HTTP,"{'ip_port': '49.70.64.171:41696', 'user_pass': ''},"
{'ip_port': ',222.182.53.240,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '222.182.53.240:8118', 'user_pass': ''},"
{'ip_port': ',110.73.53.164,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.73.53.164:8123', 'user_pass': ''},"
{'ip_port': ',59.51.121.165,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '59.51.121.165:3128', 'user_pass': ''},"
{'ip_port': ',110.73.49.8,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.49.8:8123', 'user_pass': ''},"
{'ip_port': ',27.40.128.151,,:,61234,"', 'user_pass': ''},",HTTP,"{'ip_port': '27.40.128.151:61234', 'user_pass': ''},"
{'ip_port': ',110.73.31.142,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.73.31.142:8123', 'user_pass': ''},"
{'ip_port': ',180.118.244.226,,:,61234,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.118.244.226:61234', 'user_pass': ''},"
{'ip_port': ',118.254.155.246,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '118.254.155.246:3128', 'user_pass': ''},"
{'ip_port': ',114.214.162.136,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '114.214.162.136:8118', 'user_pass': ''},"
{'ip_port': ',180.120.208.135,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '180.120.208.135:8118', 'user_pass': ''},"
{'ip_port': ',117.83.106.23,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '117.83.106.23:8118', 'user_pass': ''},"
{'ip_port': ',49.73.250.126,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '49.73.250.126:8118', 'user_pass': ''},"
{'ip_port': ',60.184.186.166,,:,30364,"', 'user_pass': ''},",HTTP,"{'ip_port': '60.184.186.166:30364', 'user_pass': ''},"
{'ip_port': ',110.72.16.149,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.72.16.149:8123', 'user_pass': ''},"
{'ip_port': ',27.40.132.58,,:,61234,"', 'user_pass': ''},",HTTPS,"{'ip_port': '27.40.132.58:61234', 'user_pass': ''},"
{'ip_port': ',110.72.34.187,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.72.34.187:8123', 'user_pass': ''},"
{'ip_port': ',110.73.50.10,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.50.10:8123', 'user_pass': ''},"
{'ip_port': ',180.156.94.129,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '180.156.94.129:8118', 'user_pass': ''},"
{'ip_port': ',182.42.244.78,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '182.42.244.78:808', 'user_pass': ''},"
{'ip_port': ',111.155.116.249,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.116.249:8123', 'user_pass': ''},"
