小区名称,居室数量,建筑面积,网址,价格,市/县,行政区,地址,经度,纬度
K2·海棠湾 ,1居|2居|3居|4居|5居,265平米,http://k2haitangwan0532.fang.com/,21000元/㎡,青岛市,黄岛,黄岛海王路1699号（维客购物中心南侧）,120.022079,35.872676
鑫江水青花都 ,2居|3居,80~130平米,http://shuiqinghuaduxj.fang.com/,17000元/㎡,青岛市,城阳,城阳黑龙江中路与王沙路交汇处,120.43291,36.2087
蔚蓝创新天地 ,2居|3居|4居,137~162平米,http://weilanchuangxintiandi.fang.com/,18000元/㎡,青岛市,城阳,城阳荟城路506号（韩国领事馆西临）,120.4356,36.312518
半岛蓝湾 ,2居|3居,,http://bandaolanwan.fang.com/,10000元/㎡,青岛市,胶州,胶州市新城区青年水库西侧（青岛工学院正对面）,120.03893,36.245021
鲁商蓝岸新城 ,2居|3居,,http://lananxinchengls.fang.com/,12000元/㎡,青岛市,城阳,城阳新业路123号（岙东路与新业路交界处以西）,120.249935,36.249102
鸿锦凤凰新城 ,2居|3居,89~134平米,http://fenghuangxinchenghj.fang.com/,价格待定,青岛市,胶州,胶州市香港路与广州路交汇处路西,120.011758,36.250395
海宸御苑 ,海宸御苑住宅项目在建中,,http://haichenyuyuan.fang.com/,价格待定,青岛市,黄岛,黄岛黄岛江山路以东，研发路以北,120.161328,35.952382
海都·悦府 ,4居,137~157平米,http://haiduyuefu.fang.com/,价格待定,青岛市,城阳,城阳177号23#营销中心,120.403546,36.305833
鲁商蓝岸公馆 ,鲁商蓝岸公馆建面31-70平公寓预计春节后开盘,,http://lanangongguanls.fang.com/,价格待定,青岛市,市南,市南宁夏路与南京路交汇处,120.385246,36.08275
和达珺园 ,2居|3居,58~132平米,http://hedajunyuan.fang.com/,价格待定,青岛市,市北,市北青岛市市北区金华支路6号,120.365825,36.13231
新城·樾府 ,城·樾府项目分三期开发 开盘时间待定,,http://xinchengyuefu0532.fang.com/,价格待定,青岛市,胶州,胶州市尚德大道与淮河路交汇处,120.083535,36.172053
沽河风情·求阙居 ,3居,94~123平米,http://guhefengqing.fang.com/1/,价格待定,青岛市,城阳,城阳青岛市城阳区红岛新区（高新区）龙海路766号,120.159362,36.256627
佳兆业水岸新都 ,2居|3居|4居,108~131平米,http://shuianxindujzy0532.fang.com/,13500元/㎡,青岛市,城阳,城阳王沙路358号（中经二路东侧、白沙河南侧）,120.454271,36.266207
大溪谷 ,2居|3居|4居|5居以上,74~500平米,http://daxigu.fang.com/,14000元/㎡,青岛市,黄岛,黄岛高山路1997号（小珠山大溪谷景区内）,120.06844,35.946463
新城香溢紫郡二期 ,2居|3居|4居,95~140平米,http://xiangyizijunxc0532.fang.com/,24000元/㎡,青岛市,李沧,李沧金水路与汉川路交汇处（宾川路西侧）,120.471245,36.178817
中铁青岛世界博览城 ,1居|2居|3居|4居|5居,30~170平米,http://guojibolanchengzt.fang.com/,13000元/㎡,青岛市,黄岛,黄岛滨海大道与明富大道交汇处（海之韵南侧）,120.017666,35.833323
天泰书院壹号 ,3居,109~135平米,http://shuyuanyihaott.fang.com/,24000元/㎡,青岛市,李沧,李沧书院路与青峰路交汇处.,120.418848,36.154676
青岛中南世纪城 ,1居|2居|3居|4居,93~135平米,http://shijichengzn0532.fang.com/,价格待定,青岛市,李沧,李沧重庆中路903号（唐山路以北、十梅庵路以南、规划公园以西）,120.3993,36.204196
麗山国际 ,2居|3居|4居|5居以上,90~229平米,http://lishanguoji0532.fang.com/villa/,价格待定,青岛市,即墨,即墨鹤山东路518号,120.530805,36.39882
